"limits",30.0009,100.0074
"peaks",43.892469995798386,50.97404683182233,75.01950488096622,91.02347741265484
"masked X","X","obs","calc","bkg","diff"
34.3204,34.3204,178.0,206.73540247677192,206.4620374963912,-50.555402476771924
34.3398,34.3398,213.0,206.81429248639455,206.53992762193803,-15.63429248639455
34.3593,34.3593,197.0,206.8934653997586,206.61808988314044,-31.71346539975861
34.3788,34.3788,194.0,206.97251464284267,206.69612247486606,-34.79251464284267
34.3982,34.3982,214.0,207.0510355715765,206.77362624867408,-14.871035571576506
34.4177,34.4177,207.0,207.1298378342933,206.8514002358199,-21.949837834293312
34.4371,34.4371,193.0,207.20811344302263,206.9286467777169,-36.028113443022626
34.4566,34.4566,190.0,207.28666910198172,207.0061622541756,-39.106669101981716
34.476,34.476,184.0,207.36469952950668,207.08315165842848,-45.18469952950668
34.4955,34.4955,202.0,207.44300904571566,207.16040871981218,-27.263009045715656
34.515,34.515,226.0,207.5211951513057,207.23753627802114,-3.3411951513057048
34.5344,34.5344,185.0,207.5988580734652,207.3141398260327,-44.41885807346521
34.5539,34.5539,200.0,207.6767983594669,207.39100911592772,-29.496798359466887
34.5733,34.5733,223.0,207.75421677860106,207.46735576955768,-6.574216778601063
34.5928,34.5928,196.0,207.83191158653997,207.5439668910353,-33.651911586539974
34.6122,34.6122,186.0,207.90908587350822,207.6200567505174,-43.72908587350822
34.6317,34.6317,206.0,207.9865355004309,207.69640980518102,-23.806535500430904
34.6512,34.6512,225.0,208.06386220557948,207.77263353349858,-4.883862205579483
34.6706,34.6706,212.0,208.14067058006546,207.8483380636014,-17.96067058006546
34.6901,34.6901,222.0,208.21775258214254,207.92430388083724,-8.037752582142538
34.7095,34.7095,213.0,208.29431762985294,207.99975187492512,-17.11431762985294
34.729,34.729,221.0,208.37115525178015,208.075459886936,-9.191155251780152
34.7484,34.7484,217.0,208.4474772680485,208.1506514511661,-13.267477268048488
34.7679,34.7679,198.0,208.5240707325997,208.22610176550305,-32.34407073259971
34.7874,34.7874,218.0,208.60412350700597,208.3014229407726,-12.424123507005966
34.8068,34.8068,219.0,208.68008386687143,208.37622973362087,-11.500083866871428
34.8263,34.8263,196.0,208.7563139675741,208.45129337585436,-34.5763139675741
34.8457,34.8457,210.0,208.83203211500785,208.52584401173925,-20.65203211500785
34.8652,34.8652,197.0,208.90801902879537,208.60065023270982,-33.728019028795366
34.8846,34.8846,209.0,208.98349530965163,208.6749448236682,-21.80349530965163
34.9041,34.9041,188.0,209.05923917381796,208.74949373683071,-42.87923917381796
34.9236,34.9236,190.0,209.1348616061604,208.82391370857752,-40.9548616061604
34.943,34.943,193.0,209.2099754952425,208.8978241170584,-38.0299754952425
34.9625,34.9625,207.0,209.2853553913931,208.97198695447503,-24.105355391393097
34.9819,34.9819,207.0,209.3602284680103,209.04564160557655,-24.18022846801029
35.0014,35.0014,204.0,209.43611719468873,209.11954742630863,-27.256117194688734
35.0208,35.0208,195.0,209.51075007200745,209.19294643790403,-36.330750072007454
35.0403,35.0403,215.0,209.58564689773937,209.26659536126667,-16.405646897739366
35.0598,35.0598,213.0,209.66221251770563,209.3401155511616,-18.482212517705626
35.0792,35.0792,211.0,209.7364862681413,209.41313099986175,-20.556486268141306
35.0987,35.0987,216.0,209.8110223199702,209.4863944746393,-15.631022319970192
35.1181,35.1181,200.0,209.88505634513888,209.55915458592426,-31.70505634513888
35.1376,35.1376,223.0,209.95935179400857,209.63216146905907,-8.77935179400857
35.157,35.157,169.0,210.03314661217456,209.7046663665946,-62.85314661217456
35.1765,35.1765,190.0,210.1072018241596,209.77741678321803,-41.9272018241596
35.196,35.196,243.0,210.18113669535632,209.85003868454126,10.998863304643685
35.2154,35.2154,209.0,210.25457317328627,209.92216066921327,-23.074573173286275
35.2349,35.2349,221.0,210.3282684593602,209.9945262949858,-11.148268459360203
35.2543,35.2543,225.0,210.40146670847287,210.06639338243423,-7.221466708472867
35.2738,35.2738,196.0,210.4749228364631,210.13850286191587,-36.294922836463094
35.2932,35.2932,222.0,210.54788339694147,210.21011518155598,-10.367883396941473
35.3127,35.3127,213.0,210.62147595604605,210.2819686456506,-19.441475956046055
35.3322,35.3322,233.0,210.69457391962737,210.3536938227553,0.48542608037262625
35.3516,35.3516,198.0,210.76717860049743,210.4249239097839,-34.58717860049743
35.3711,35.3711,235.0,210.84003848640413,210.49639327110526,2.339961513595874
35.3905,35.3905,227.0,210.9124063909732,210.56736892117738,-5.732406390973189
35.41,35.41,209.0,210.98502864792408,210.63858260171648,-23.805028647924082
35.4294,35.4294,221.0,211.05716031350633,210.7093039499531,-11.87716031350633
35.4489,35.4489,229.0,211.1295451602906,210.7802620863428,-3.9495451602906044
35.4684,35.4684,219.0,211.20181152647476,210.8510921741189,-14.021811526474757
35.4878,35.4878,201.0,211.2735894609506,210.92143199998765,-32.093589460950604
35.5073,35.5073,228.0,211.34561911887286,210.9920067517952,-5.165619118872861
35.5267,35.5267,239.0,211.41716209447716,211.06209262089754,5.7628379055228365
35.5462,35.5462,201.0,211.48895575913002,211.1324121774352,-32.30895575913002
35.5656,35.5656,238.0,211.5602640501223,211.20224423055416,4.6197359498777
