File_Name,Deformation,C11,C22,C33,C12,C13,C23,C44,C55,C66,C14,C15,C16,C24,C25,C26,C34,C35,C36,C45,C46,C56,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio
B0_5,"0,000004","439,47","442,43","441,50","235,90","237,88","234,36","190,77","191,40","192,30","-0,78","-0,27","-0,48","-0,25","-0,79","0,11","0,76","-0,47","-0,66","-0,01","0,07","-0,18","304,41","155,91","399,52","0,28"
B0_5,"0,000006","437,34","440,45","439,68","234,96","236,84","233,19","190,93","191,75","193,10","-0,68","0,04","-0,54","-0,18","-0,80","0,00","0,85","-0,31","-0,63","0,08","0,00","-0,23","303,05","155,99","399,43","0,28"
B0_5,"0,000008","436,26","442,17","441,61","235,20","237,14","234,42","190,76","191,58","192,99","-0,68","0,06","-0,51","-0,01","-0,83","0,00","0,79","-0,39","-0,48","0,11","0,00","-0,13","303,73","155,95","399,48","0,28"
B0_6,"0,000001","431,69","433,70","432,65","231,33","231,10","229,09","190,16","190,80","193,00","0,08","-0,20","1,42","0,07","-0,09","0,88","0,79","0,26","0,35","1,34","-0,87","1,14","297,90","155,23","396,77","0,28"
B0_6,"0,000002","432,72","432,88","433,50","230,91","232,00","229,19","190,07","190,61","192,38","-0,30","-0,80","1,20","-0,09","-0,25","0,03","0,19","0,22","-0,77","0,90","-0,81","0,67","298,15","155,08","396,49","0,28"
B0_6,"0,000004","437,75","438,93","440,26","233,80","234,89","232,56","190,54","190,85","192,17","-0,24","-0,82","0,97","0,29","-0,20","-0,01","0,80","0,17","-0,87","0,65","-0,69","0,72","302,16","155,76","398,76","0,28"
B0_6,"0,000006","435,61","436,75","437,87","232,79","233,87","231,49","190,61","191,05","192,60","-0,28","-0,96","0,73","0,44","-0,40","-0,22","0,76","0,20","-0,93","0,60","-0,60","0,68","300,72","155,66","398,26","0,28"
B0_6,"0,000008","437,79","439,05","440,19","233,90","234,93","232,65","190,68","190,98","192,50","-0,34","-0,92","0,79","0,39","-0,45","-0,22","0,82","0,22","-0,94","0,65","-0,56","0,67","302,22","155,87","399,01","0,28"
B0_7,"0,000001","434,28","431,61","458,58","232,37","237,25","239,56","192,43","190,63","191,36","-0,57","1,78","1,25","0,10","0,79","0,30","1,58","0,58","-1,59","0,36","0,74","0,28","304,76","155,90","399,58","0,28"
B0_7,"0,000002","446,75","443,01","445,54","238,50","237,98","239,46","192,42","189,53","190,88","-0,89","0,38","1,79","0,62","0,34","0,65","1,08","-0,25","-1,14","0,69","0,34","0,22","307,46","155,86","399,98","0,28"
B0_7,"0,000004","440,55","437,08","439,54","235,18","234,84","235,63","192,25","190,01","190,37","-0,64","0,81","1,79","0,11","0,42","0,74","0,90","0,12","-1,35","0,61","0,62","0,17","303,16","155,30","397,94","0,28"
B0_7,"0,000006","438,60","435,27","437,76","234,28","233,63","234,66","192,50","190,20","191,03","-0,59","0,76","1,60","0,52","0,38","0,82","1,06","0,08","-1,44","0,60","0,63","0,21","301,86","155,35","397,81","0,28"
B0_7,"0,000008","440,47","434,11","436,98","234,47","233,79","234,22","192,38","190,13","190,96","-0,71","0,68","1,43","0,27","0,34","0,65","0,96","0,05","-1,53","0,59","0,57","0,17","301,83","155,30","397,69","0,28"
B0_8,"0,000001","431,09","438,78","452,30","230,14","242,14","238,64","191,00","189,93","190,43","-0,82","0,09","1,00","0,77","-1,34","1,36","0,37","-0,42","-0,27","0,27","-0,40","-0,21","304,89","155,02","397,67","0,28"
B0_8,"0,000002","432,78","437,53","440,88","229,80","238,90","234,79","191,00","191,18","189,74","-1,04","0,25","0,84","-0,04","-1,07","0,52","0,31","-0,07","-0,69","0,67","-0,47","-0,46","302,02","154,90","396,85","0,28"
B0_8,"0,000004","433,60","443,97","436,39","231,95","237,45","235,28","191,24","190,99","190,06","-0,78","0,04","0,84","-0,48","-1,02","0,95","0,31","-0,01","-0,22","0,49","-0,40","-0,67","302,59","155,08","397,35","0,28"
B0_8,"0,000006","441,35","445,87","434,19","234,44","238,81","235,09","191,42","191,13","190,35","-0,82","0,30","0,81","-0,43","-1,05","0,99","0,37","0,19","-0,35","0,46","-0,44","-0,79","304,23","155,45","398,49","0,28"
B0_8,"0,000008","439,66","443,69","433,28","233,22","238,00","234,20","191,27","191,24","190,29","-0,89","0,15","0,79","-0,34","-1,14","0,90","0,43","0,10","-0,40","0,49","-0,42","-0,78","303,05","155,31","397,94","0,28"
B0_9,"0,000001","438,01","432,00","435,69","234,40","230,00","231,18","191,16","191,57","191,14","0,38","0,73","-0,12","-0,24","-0,94","-0,95","1,18","-1,19","-0,09","-0,24","0,32","-0,63","299,65","155,45","397,60","0,28"
B0_9,"0,000002","435,92","431,73","436,09","233,47","229,52","231,50","191,16","191,66","190,97","0,54","0,37","0,34","0,51","-0,90","-0,98","1,04","-0,27","0,21","-0,17","0,59","0,19","299,19","155,38","397,34","0,28"
B0_9,"0,000004","441,81","431,62","442,14","234,79","232,83","233,30","191,15","191,67","191,28","0,36","0,44","0,48","0,20","-0,42","-0,80","1,16","-0,36","0,15","-0,23","0,59","-0,01","301,93","155,80","398,80","0,28"
B0_9,"0,000006","439,78","435,69","444,00","235,56","232,71","234,80","191,69","192,05","191,47","0,32","0,66","0,42","-0,01","-0,34","-0,81","0,93","-0,35","0,22","-0,15","0,47","-0,02","302,84","156,14","399,72","0,28"
B0_9,"0,000008","441,89","437,37","442,31","236,52","232,79","234,87","191,39","191,73","191,53","0,38","0,49","0,33","0,22","-0,43","-0,81","0,97","-0,46","0,33","-0,20","0,40","-0,06","303,32","156,09","399,71","0,28"
