Alloy,T_formation_K,Monocrystal_Athermal_MPa,Monocrystal_Thermal_MPa,Monocrystal_Total_MPa,Polycrystal_Athermal_MPa,Polycrystal_Thermal_MPa,Polycrystal_Total_MPa,Random_RSS_MPa
Fe26Ni45Cr29,400,6.402537191037425,68.90098965197116,75.30352684300858,19.59176380457452,210.83702833503176,230.42879213960626,47.11
Fe26Ni45Cr29,500,5.153309732450037,65.59240091494905,70.7457106473991,15.769127781297113,200.7127467997441,216.48187458104124,47.11
Fe26Ni45Cr29,600,4.311341762295995,63.33500560728779,67.64634736958378,13.192705792625745,193.80511715830065,206.99782295092638,47.11
Fe26Ni45Cr29,700,3.7055932319122746,61.69593103696699,65.40152426887926,11.339115289651561,188.789548973119,200.12866426277054,47.11
Fe26Ni45Cr29,773,3.3607906716915603,60.75695929442828,64.11774996611983,10.284019455376175,185.91629544095053,196.2003148963267,47.11
Fe26Ni45Cr29,800,3.2489620360454645,60.45145660581516,63.70041864186062,9.941823830299121,184.98145721379439,194.9232810440935,47.11
Fe26Ni45Cr29,900,2.8924546868204084,59.474253250024546,62.36670793684495,8.85091134167045,181.99121494507511,190.84212628674555,47.11
Fe26Ni45Cr29,1000,2.606410850454798,58.68649229082644,61.29290314128124,7.975617202391682,179.5806664099289,187.5562836123206,47.11
Fe26Ni45Cr29,1100,2.3718275369447146,58.03790930251253,60.409736839457246,7.257792263050827,177.59600246568834,184.8537947287392,47.11
Fe26Ni45Cr29,1200,2.1759688232452596,57.49458788616306,59.67055670940832,6.658464599130495,175.93343893165897,182.59190353078944,47.11
Fe26Ni45Cr29,1273,2.0522495706126263,57.15051953445928,59.2027691050719,6.279883686074636,174.8805897754454,181.16047346152,47.11
Fe26Ni45Cr29,1400,1.867513593973829,56.635489091846445,58.50300268582028,5.714591597559917,173.30459662105014,179.01918821861005,47.11
Fe26Ni45Cr29,1500,1.7439018283791137,56.29000290225519,58.033904730634305,5.336339594840088,172.24740888090088,177.58374847574098,47.11
Fe26Ni45Cr29,1600,1.6356347250357945,55.986824287804104,57.6224590128399,5.005042258609532,171.31968232068056,176.3247245792901,47.11
Fe26Ni45Cr29,1700,1.540022544066047,55.7186269941111,57.258649538177146,4.712468984842104,170.49899860197996,175.21146758682207,47.11
Fe26Ni45Cr29,1800,1.4549693796044754,55.47968460723758,56.93465398684206,4.452206301589695,169.767834898147,174.2200411997367,47.11
Fe26Ni45Cr29,1900,1.378817874742316,55.26545632977425,56.64427420451657,4.219182696711488,169.1122963691092,173.3314790658207,47.11
Fe26Ni45Cr29,2000,1.3102402358072451,55.07229515272577,56.382535388533014,4.00933512157017,168.52122316734088,172.53055828891104,47.11
Fe26Ni46Cr28,300,8.372987195485177,73.88941042254557,82.26239761803075,25.621340818184642,226.10159589298945,251.7229367111741,47.1
Fe26Ni46Cr28,400,6.345228416503125,68.63794456841886,74.98317298492198,19.416398954499563,210.0321103793617,229.44850933386127,47.1
Fe26Ni46Cr28,500,5.106302455740045,65.37515144518753,70.48145390092758,15.625285514564538,200.04796342227382,215.67324893683838,47.1
Fe26Ni46Cr28,600,4.271504031488523,63.15015106148862,67.42165509297715,13.07080233635488,193.23946224815518,206.31026458451007,47.1
Fe26Ni46Cr28,700,3.671030724523388,61.53522964883863,65.20626037336201,11.233354017041567,188.29780272544622,199.53115674248775,47.1
Fe26Ni46Cr28,773,3.3292758288054958,60.610347020807595,63.93962284961309,10.187584036144818,185.46766188367124,195.65524591981605,47.1
Fe26Ni46Cr28,800,3.2184427277653676,60.30946933545277,63.52791206321814,9.848434746962026,184.54697616648548,194.3954109134475,47.1
Fe26Ni46Cr28,900,2.86513259523645,59.34719845694167,62.21233105217812,8.767305741423536,181.60242727824152,190.36973301966506,47.1
Fe26Ni46Cr28,1000,2.581680134155647,58.57163260996014,61.15331274411579,7.89994121051628,179.22919578647804,187.1291369969943,47.1
Fe26Ni46Cr28,1100,2.3492395311353755,57.933198675153974,60.28243820628935,7.188672965274249,177.27558794597115,184.46426091124542,47.1
Fe26Ni46Cr28,1200,2.1551820549610987,57.398456420855005,59.5536384758161,6.594857088180962,175.63927664781633,182.23413373599726,47.1
Fe26Ni46Cr28,1273,2.0326063794825187,57.059858065785484,59.092464445268,6.219775521216508,174.60316568130358,180.82294120252007,47.1
Fe26Ni46Cr28,1400,1.8495863618039559,56.55307022270345,58.402656584507405,5.659734267120105,173.05239488147254,178.71212914859265,47.1
Fe26Ni46Cr28,1500,1.727128430691962,56.2131504836772,57.94027891436916,5.285012997917404,172.0122404800522,177.29725347796963,47.1
Fe26Ni46Cr28,1600,1.6198756652812936,55.91488165486633,57.53475732014762,4.956819535760759,171.09953786389096,176.05635739965172,47.1
Fe26Ni46Cr28,1700,1.5251621735379555,55.65104733784552,57.176209511383476,4.666996251026144,170.29220485380728,174.95920110483343,47.1
Fe26Ni46Cr28,1800,1.4409107560335161,55.41600774003987,56.85691849607339,4.40918691346256,169.57298368452203,173.98217059798458,47.1
Fe26Ni46Cr28,1900,1.3654789352523165,55.20529129053918,56.5707702257915,4.178365541872088,168.92819134904988,173.10655689092198,47.1
Fe26Ni46Cr28,2000,1.2975509007268937,55.01530697328664,56.31285787401354,3.970505756224295,168.34683933825713,172.31734509448142,47.1
Fe26Ni47Cr27,300,8.281490005786774,73.45569724641835,81.73718725220513,25.341359417707526,224.77443357404016,250.1157929917477,47.06
Fe26Ni47Cr27,400,6.273976486471337,68.28695584615716,74.5609323326285,19.19836804860229,208.9580848892409,228.1564529378432,47.06
Fe26Ni47Cr27,500,5.047980413162265,65.0782465278593,70.12622694102157,15.446820064276531,199.1394343752495,214.58625443952602,47.06
Fe26Ni47Cr27,600,4.222147952283741,62.89144324254306,67.1135911948268,12.919772733988248,192.44781632218178,205.36758905617,47.06
Fe26Ni47Cr27,700,3.6282547782073196,61.304965301255976,64.9332200794633,11.102459621314399,187.5931938218433,198.69565344315768,47.06
Fe26Ni47Cr27,773,3.290295007384851,60.396659679309124,63.68695468669397,10.068302722597643,184.81377861868592,194.88208134128357,47.06
Fe26Ni47Cr27,800,3.180700597422159,60.10122124004975,63.28192183747191,9.732943828111807,183.90973699455225,193.64268082266406,47.06
Fe26Ni47Cr27,900,2.8313652894506176,59.1565033582572,61.98786864770781,8.66397778571889,181.01890027626703,189.68287806198592,47.06
Fe26Ni47Cr27,1000,2.5511307537936583,58.3952629909344,60.946393744728056,7.806460106608594,178.68950475225927,186.49596485886786,47.06
Fe26Ni47Cr27,1100,2.3213484655888137,57.76874424288758,60.09009270847639,7.10332630470177,176.772357383236,183.87568368793777,47.06
Fe26Ni47Cr27,1200,2.1295239117642764,57.24406913215719,59.37359304392147,6.516343169998685,175.16685154440103,181.6831947143997,47.06
Fe26Ni47Cr27,1273,2.008365080183439,56.911887116775766,58.920252196959204,6.145597145361323,174.15037457733385,180.29597172269516,47.06
Fe26Ni47Cr27,1400,1.827469893602476,56.414764345464846,58.24223423906732,5.592057874423577,172.62917889712244,178.22123677154602,47.06
Fe26Ni47Cr27,1500,1.706439937787613,56.08136922902386,57.78780916681148,5.221706209630096,171.60898984081302,176.83069605044312,47.06
Fe26Ni47Cr27,1600,1.6004419813411441,55.78885370312526,57.389295684466404,4.897352462903901,170.7138923315633,175.6112447944672,47.06
Fe26Ni47Cr27,1700,1.506839830702273,55.53013062509886,57.03697045580114,4.610929881948955,169.92219971280252,174.5331295947515,47.06
Fe26Ni47Cr27,1800,1.4235795532474316,55.29966210296467,56.723241656212096,4.35615343293714,169.2169660350719,173.57311946800903,47.06
Fe26Ni47Cr27,1900,1.3490371688364762,55.093057982197834,56.44209515103431,4.128053736639617,168.58475742552537,172.712811162165,47.06
Fe26Ni47Cr27,2000,1.281911748170217,54.90679302882327,56.18870477699349,3.922649949400864,168.0147866681992,171.93743661760007,47.06
Fe26Ni48Cr26,300,8.172323006167643,72.91533598387521,81.08765899004285,25.007308398872986,223.12092811065816,248.12823650953115,46.97
Fe26Ni48Cr26,400,6.189165484626839,67.84258373200888,74.03174921663572,18.93884638295813,207.59830621994718,226.5371526029053,46.97
Fe26Ni48Cr26,500,4.978663838468534,64.69651034774111,69.67517418620965,15.234711345713714,197.9713216640878,213.20603300980153,46.97
Fe26Ni48Cr26,600,4.163548018026166,62.55387833135467,66.71742634938083,12.740456935160068,191.4148676939453,204.15532462910534,46.97
Fe26Ni48Cr26,700,3.577505608685483,61.00025444691436,64.57776005559984,10.947167162577578,186.66077860755794,197.6079457701355,46.97
Fe26Ni48Cr26,773,3.2440683434864397,60.11108043960601,63.35514878309245,9.926849131068506,183.9399061451944,193.86675527626292,46.97
Fe26Ni48Cr26,800,3.1359491760145644,59.821916847103495,62.95786602311806,9.596004478604566,183.0550655521367,192.65107003074127,46.97
Fe26Ni48Cr26,900,2.7913448348428584,58.897439373182976,61.68878420802584,8.541515194619148,180.22616448193992,188.76767967655906,46.97
Fe26Ni48Cr26,1000,2.5149372614500574,58.15270739695082,60.667644658400874,7.695708020037175,177.9472846346695,185.6429926547067,46.97
Fe26Ni48Cr26,1100,2.288314335734045,57.53991222919144,59.82822656492548,7.002241867346179,176.0721314213258,183.07437328867198,46.97
Fe26Ni48Cr26,1200,2.0991421208054235,57.026826951374716,59.12596907218014,6.423374889664596,174.50209047120663,180.92546536087124,46.97
Fe26Ni48Cr26,1273,1.979665548502162,56.70202920542712,58.68169475392928,6.0577765784166155,173.50820936860697,179.5659859470236,46.97
Fe26Ni48Cr26,1400,1.8012922068227573,56.21602570576165,58.01731791258441,5.511954152877637,172.02103865963065,177.5329928125083,46.97
Fe26Ni48Cr26,1500,1.6819563515857803,55.89013432690391,57.572090678489694,5.146786435852488,171.02381104032597,176.17059747617847,46.97
Fe26Ni48Cr26,1600,1.5774466206396194,55.60423365181415,57.18168027245377,4.826986659157235,170.1489549745513,174.97594163370854,46.97
Fe26Ni48Cr26,1700,1.4851621761365263,55.35138581301679,56.83654798915332,4.544596258977771,169.37524058783137,173.91983684680915,46.97
Fe26Ni48Cr26,1800,1.4030768048126034,55.12617051104026,56.529247315852864,4.293415022726567,168.6860817637832,172.97949678650977,46.97
Fe26Ni48Cr26,1900,1.3295885359450463,54.92429147887726,56.25388001482231,4.068540919991841,168.06833192536442,172.13687284535627,46.97
Fe26Ni48Cr26,2000,1.2634141644082753,54.74229938344174,56.005713547850014,3.8660473430893223,167.51143611333174,171.37748345642106,46.97
Fe26Ni49Cr25,300,8.045923346535163,72.2734570350473,80.31938038158246,24.6205254403976,221.15677852724474,245.77730396764233,46.85
Fe26Ni49Cr25,400,6.091150868523493,67.3098745030327,73.4010253715562,18.638921657681887,205.96821597928007,224.607137636962,46.85
Fe26Ni49Cr25,500,4.8986515795046115,64.23491391314357,69.13356549264819,14.989873833284111,196.55883657421933,211.54871040750345,46.85
Fe26Ni49Cr25,600,4.095961793610755,62.14236362509339,66.23832541870414,12.53364308844891,190.15563269278576,202.68927578123467,46.85
